Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Іщак,Гліб,Юрійович,Чоловіча,18.02.1988,Фермер,село Таврійськ,"провулок Гена Іоганна, буд. 5 кв. 073, Путивль, 83017",+380 06 434 57 56,andriishukhevych@example.org
Черінько,Веніямин,Іванович,Чоловіча,07.05.1979,Правник,місто Вуглегірськ,"шосе Амундсена, 1-й, буд. 71 кв. 98, Підгайці, 79269",+380 (20) 949-51-61,bandurkavolodymyra@example.com
Короленко,Геннадій,Олександрович,Чоловіча,19.09.1972,Соціолог,селище Міусинськ,"проспект Висока, буд. 62 кв. 675, Берестечко, 56374",171-52-79,ieva05@example.com
Василевич,Омелян,Юрійович,Чоловіча,25.09.1940,Фотограф,село Мостиська,"парк Чумацька, буд. 20 кв. 7, Алчевськ, 99631",085 383-23-89,aaronsomko@example.org
Зарудний,Кирило,Петрович,Чоловіча,11.12.2006,Доцент,село Почаїв,"шосе Корнюшина, буд. 05 кв. 360, Хорол , 35593",040 794 76 50,ulytvynenko@example.org
Пушкар,Артем,Олегович,Чоловіча,27.02.1984,Акушер,місто Калуш,"набережна Краснослобідська, буд. 77 кв. 5, Долинська, 34599",+380 95 134 66 17,bohodarzakharenko@example.com
Рак,Алевтин,Іванович,Чоловіча,27.04.1959,Письменник,село Васильків,"узвіз Новікова 2-га, буд. 09, Знам'янка, 05188",078 616 61 70,mykyta64@example.org
Килимник,Костянтин,Петрович,Чоловіча,28.10.2004,Музичний редактор,село Саки ,"узвіз Юрженка Олександра, буд. 25 кв. 5, Дергачі, 09419",082 657-01-06,havryloiashchenko@example.net
Шаблій,Амвросій,Юрійович,Чоловіча,01.12.1938,Філолог,місто Мена ,"сквер Магнітогорський 3-й, буд. 52, Теребовля, 57698",+380 (70) 845-86-63,friabchenko@example.org
Якименко,Станіслав,Анатолійович,Чоловіча,11.12.2002,Реабілітолог,село Хуст,"узвіз Церковна, буд. 083, Біляївка, 12726",+380 42 068-21-04,oles32@example.net
Ванченко,Гордій,Олексійович,Чоловіча,18.04.2002,Правник,місто Городня,"площа Радіальна, буд. 52 кв. 6, Чигирин, 12745",173-06-12,zakusylookhrim@example.org
Христич,Аарон,Олегович,Чоловіча,21.04.1997,Мікробіолог,селище Бориспіль,"провулок Герцена, буд. 96, Долина , 57821",+380 35 361-15-53,mazurerika@example.net
Безбородько,Валентин,Юрійович,Чоловіча,03.02.1938,Няня,селище Шепетівка,"провулок Таїрова, буд. 846 кв. 444, Турка, 98710",032 609 62 37,hryhoriizaika@example.org
Уманець,Павло,Іванович,Чоловіча,09.11.1970,Штукатур,місто Умань,"сквер Лодочний, буд. 59, Мала Виска, 60264",441-35-20,vadym36@example.com
Данчук,Валентин,Іванович,Чоловіча,03.03.1968,Бібліотекар,село Середина-Буда,"площа Миколи Огренича, буд. 20 кв. 080, Дубровиця, 06515",+380 88 812-46-20,symonnosachenko@example.com
Франко,Святослав,Вікторович,Чоловіча,30.06.1972,Професор,селище Звенигородка,"вулиця Промислова, буд. 61 кв. 961, Дубно, 64695",+380 (03) 307-53-72,babakbohdan@example.org
Корсун,Ілля,Іванович,Чоловіча,26.10.1989,Паралегал,хутір Немирів,"узвіз Середньофонтанська, буд. 540, Бердянськ, 27354",+380 25 534-87-95,odarka46@example.net
Верхола,Семен,Петрович,Чоловіча,23.01.1992,Дантист,село Шаргород,"провулок Китобійний 2-й, буд. 88, Лисичанськ, 52858",+380 62 943-45-05,dbevz@example.com
Дутка,Ярослав,Юрійович,Чоловіча,08.02.1980,Гірничий інженер,хутір Білицьке,"сквер Наявний 4-й, буд. 845, Покровськ, 53544",+380 59 871 77 73,serhii90@example.net
Засенко,Олександр,Анатолійович,Чоловіча,13.11.1995,Сценарист,село Іллінці,"узвіз Кісельова Ігоря, буд. 75, Чуднів, 83669",062 082 38 32,kyrylo98@example.net
Жученко,Борислав,Петрович,Чоловіча,09.10.2003,Петрограф,хутір Красногорівка,"парк Локомотивний 2-й, буд. 43 кв. 7, Дунаївці, 93043",238-07-25,oleksandr81@example.net
Цюпа,Августин,Олександрович,Чоловіча,06.05.1987,Круп'є,хутір Кагарлик,"набережна Хвойний, буд. 67, Тетіїв, 02629",+380 37 089 01 52,zubkolarysa@example.net
Сіробаба,Яків,Іванович,Чоловіча,14.01.2006,Палеонтолог,хутір Апостолове,"шосе Миколи Огренича, буд. 77 кв. 5, Красноперекопськ, 36073",031 724 33 58,myronzasenko@example.org
Юрчук,Микита,Петрович,Чоловіча,26.10.1978,Парфюмер,місто Угнів,"узвіз Василя Кандинського, буд. 8 кв. 5, Первомайський , 13594",031 178 37 12,sviatoslava60@example.org
Бабʼюк,Руслан,Юрійович,Чоловіча,09.08.1949,Каскадер,хутір Снятин,"вулиця Гілельса, буд. 927 кв. 7, Знам'янка, 73779",+380 56 116-24-37,ovashchenko@example.org
Гаврилишин,Симон,Юрійович,Чоловіча,09.03.1979,Сантехнік,хутір Люботин,"провулок Братська, буд. 3 кв. 1, Слов'янськ, 53495",751-26-01,mariia46@example.com
Вакарчук,Олесь,Юрійович,Чоловіча,08.11.1986,Фермер,хутір Українськ,"узвіз Лядова, буд. 0, Судова Вишня, 46853",+380 (15) 898-52-99,kabaliukiustym@example.com
Чекалюк,Остап,Олегович,Чоловіча,18.10.1978,Композитор,хутір Лозова ,"шосе Траса Здоров'я, буд. 2, Ялта, 83552",536-11-48,sviatoslavariabovil@example.org
Дашенко,Роман,Олексійович,Чоловіча,11.04.1985,Агроном,село Дніпрорудне,"парк Косяченка Олексія, буд. 9, Глобине, 14781",081 731-62-28,nfesenko@example.com
Архипенко,Віктор,Вікторович,Чоловіча,11.02.2003,Драматург,селище Білицьке,"площа Акордна, буд. 7 кв. 62, Вугледар, 15129",+380 30 836 33 21,bohdannaivasiuk@example.net
Даниленко,Миколай,Петрович,Чоловіча,25.11.1940,Науковець,селище Дніпрорудне,"набережна Юннатів 1-й, буд. 09, Полонне, 46897",+380 90 556-02-37,mreva@example.org
Ващенко-Захарченко,Борислав,Вікторович,Чоловіча,01.08.1996,Дипломат,селище Красногорівка,"парк Кордонний, буд. 63 кв. 37, Полонне, 35225",+380 56 832-00-35,ieva56@example.net
Ґерус,Борислав,Олегович,Чоловіча,27.04.1975,Конструктор,село Гола Пристань,"узвіз М’ясоєдовська, буд. 546, Винники, 95245",026 593 79 52,pavlo14@example.org
Масляк,Ярослав,Олегович,Чоловіча,28.01.1982,Машиніст,селище Сторожинець,"площа Куликове поле, буд. 60 кв. 184, Ватутіне, 99677",+380 (81) 495-08-53,aovcharenko@example.net
Мазур,Макар,Олегович,Чоловіча,22.09.1946,Льотчик,село Охтирка,"шосе Мічманський 1-й, буд. 9 кв. 640, Горохів, 14957",+380 49 574 68 02,zasiadkoteodor@example.net
Шаповал,Миколай,Олегович,Чоловіча,02.04.1990,Хімік,село Донецьк,"шосе Ростовська, буд. 0 кв. 38, Зеленодольськ, 60365",080 459 70 92,mariia42@example.org
Ейбоженко,Назар,Юрійович,Чоловіча,23.04.1951,Громадський діяч,місто Чорноморськ,"проспект Ціолковського, буд. 929 кв. 5, Звенигородка, 02140",025-91-52,protsenkoleon@example.org
Твердохліб,Назар,Вікторович,Чоловіча,15.02.1987,Головний меркшейдер,село Зборів,"сквер Лінія 22-га, буд. 11 кв. 49, Бахмач, 13190",079 757 39 91,levko66@example.org
Фартушняк,Сергій,Вікторович,Чоловіча,04.09.1989,Євнух,хутір Коломия,"шосе Бехтерєва, буд. 11, Малин, 60603",086 828-26-12,bohdanpelekh@example.net
Остапчук,Валентин,Олексійович,Чоловіча,10.04.1994,Інженер,місто Нікополь,"провулок Подільська, буд. 7 кв. 742, Підгайці, 08709",070 257-25-20,panteleimon78@example.org
Ребрик,Віталій,Вікторович,Чоловіча,07.11.1985,Перекладач,село Українка ,"набережна Молокова, буд. 36, Світловодськ, 65356",755 63 24,artiukhihor@example.org
Бездітко,Борислав,Анатолійович,Чоловіча,29.04.1993,Маркетолог,селище Пологи ,"площа Лінія 28-ма, буд. 793, Житомир, 82219",+380 30 756-75-60,feofan28@example.org
Ребрик,Демид,Вікторович,Чоловіча,28.08.1981,Програміст,село Теплодар,"вулиця Фонтанська дорога, буд. 4 кв. 6, Кремінна, 33435",+380 77 275 07 80,klymenthaidenko@example.com
Франко,Валерій,Петрович,Чоловіча,04.09.1979,Менеджер,село Лозова ,"узвіз Матроська Слобідка, буд. 71 кв. 544, Борщів, 61339",488-10-29,ielysaveta56@example.net
Гайдабура,Августин,Юрійович,Чоловіча,12.10.1950,Професор,село Бібрка,"шосе Південна, буд. 17, Саки , 87415",179-68-45,kostiantynavramenko@example.net
Єрошенко,Спас,Петрович,Чоловіча,09.05.1966,Футболіст,місто Карлівка,"провулок Кар’єрна, буд. 83 кв. 18, Березівка, 57308",519 06 51,avdieienkoiefrem@example.com
Кабалюк,Хома,Петрович,Чоловіча,28.08.1962,Бізнесмен,селище Мостиська,"шосе Заньковецької, буд. 299 кв. 40, Бахчисарай, 68520",+380 38 884 96 63,baranykiarema@example.org
Александренко,Олег,Олександрович,Чоловіча,07.12.1973,Перекладач,хутір Новодружеськ,"провулок Верхня, буд. 1 кв. 4, Гайворон, 60658",099 982 66 05,iaremchukvira@example.org
Баклан,Дмитро,Олексійович,Чоловіча,16.03.1957,Гірник,село Чорноморськ,"шосе Дачний 1-й, буд. 60, Сіверськ, 83180",+380 08 404-43-35,liliiadankevych@example.com
Литвин,Герман,Олексійович,Чоловіча,26.06.1954,Художник,селище Старий Самбір,"парк Басейний 4-й, буд. 025, Білицьке, 78593",+380 25 749-32-18,avreliidutka@example.com
Затовканюк,Валерій,Олексійович,Чоловіча,28.02.2000,Педагог,селище Сколе,"парк Нафтовиків 1-й, буд. 58 кв. 215, Сіверськ, 62720",+380 16 832 93 93,iakivlysenko@example.org
Чабан,Онисим,Іванович,Чоловіча,21.12.1951,Графік,місто Снігурівка,"площа Василя Симоненка, буд. 5 кв. 156, Вовчанськ, 45323",871-13-98,khomashyian@example.org
Вахній,Арсен,Юрійович,Чоловіча,02.10.1986,Будник,хутір Заводське,"узвіз Дачний, буд. 396, Гуляйполе, 43428",179-21-67,larysaiemelianenko@example.net
Пилипенко,Станіслав,Олексійович,Чоловіча,22.07.2005,Ді-джей,хутір Чуднів,"парк Український 3-й, буд. 89, Берислав, 88728",415-51-20,dankevychihnat@example.com
Уманець,Лесь,Юрійович,Чоловіча,07.06.1979,Парфюмер,село Молочанськ,"площа Хлібна гавань, буд. 40, Тисмениця, 21768",186-44-85,vadymarsenych@example.com
Микитюк,Феофан,Олегович,Чоловіча,23.01.1980,Інженер,хутір Охтирка,"вулиця Артезіанська, буд. 476, Узин, 23209",+380 65 325 59 86,halynadubyna@example.net
Саченко,Яків,Олександрович,Чоловіча,24.07.1962,Стоматолог,село Овруч,"шосе 4-та Суворовська, буд. 513, Могилів-Подільський, 14110",+380 (93) 032-65-00,orynaiefymenko@example.com
Атрощенко,Адам,Олегович,Чоловіча,08.09.1971,Флорист,село Гірник ,"парк Авіаційна, буд. 4 кв. 97, Теребовля, 37925",067 788 70 78,liubov45@example.net
Кащенко,Захар,Іванович,Чоловіча,21.04.1961,Математик,хутір Приморськ (Україна),"набережна Проточний, буд. 4 кв. 02, Скалат, 13472",+380 68 296 23 66,ttsiutsiura@example.net
Жарко,Варфоломій,Вікторович,Чоловіча,21.09.1996,Музикознавець,хутір Городок,"провулок Зелений, буд. 8, Миронівка, 24817",092 780 64 67,vlokhvitalii@example.net
Колісниченко,Марко,Петрович,Чоловіча,06.09.2007,Фотограф,село Сколе,"парк Морський 2-й, буд. 580 кв. 735, Южноукраїнськ, 45629",795-46-96,daniurchuk@example.org
Євдокименко,Роман,Олександрович,Чоловіча,13.10.1982,Лікар,село Носівка,"сквер 15-та ст. Великого Фонтану пляж, буд. 142 кв. 65, Попасна, 64492",019 839-36-55,bohdanpryimak@example.org
Щербак,Устим,Юрійович,Чоловіча,13.06.1956,Геолог,селище Дніпро ,"шосе Трамвайна, буд. 27, Герца, 11889",031 240 07 32,stepan90@example.org
Гайворонський,Борис,Анатолійович,Чоловіча,22.02.1947,Етнограф,селище Заставна,"сквер Пісочний, буд. 79, Волочиськ, 64647",703 19 71,rakamvrosii@example.net
Дахно,Пантелеймон,Юрійович,Чоловіча,06.03.1956,Дантист,місто Запоріжжя,"площа Десятого квітня, буд. 094, Гуляйполе, 26723",+380 95 925-07-77,varvara42@example.org
Забіла,Опанас,Петрович,Чоловіча,25.09.1946,Письменник,село Донецьк,"узвіз Чорноморка, буд. 25, Алчевськ, 04669",071 499-08-06,ostapchukvira@example.net
Онуфрієнко,Азар,Вікторович,Чоловіча,21.12.1956,Мірошник,місто Андрушівка,"вулиця Чернігівська, буд. 01 кв. 437, Єнакієве, 17653",+380 17 686-99-71,evernyhora@example.org
Власенко,Олесь,Анатолійович,Чоловіча,04.07.2008,Фермер,село Червоносів,"набережна Шолохова, буд. 71 кв. 21, Шумськ, 41160",090 373-82-27,panas17@example.org
Терещук,Трохим,Олегович,Чоловіча,24.10.2006,Гірничий інженер,місто Долинська,"провулок Стєклова, буд. 263, Ровеньки, 81111",064 010-48-78,neporozhniiteodor@example.org
Голобородько,Прохір,Вікторович,Чоловіча,24.05.1998,Клоун,селище Херсон,"шосе Павла Шклярука, буд. 499 кв. 426, Старобільськ, 80993",+380 06 208-17-57,obabarychenko@example.org
Оберемко,Костянтин,Олександрович,Чоловіча,19.07.1958,Програміст,село Мерефа,"проспект 8-ма Лінія 6-й ст. Люстдорфської дороги, буд. 5 кв. 2, Вільногірськ, 35597",089 420 70 51,fhutsuliak@example.org
Деряжний,Захар,Анатолійович,Чоловіча,21.02.1950,Перекладач,село Перечин,"сквер Флотський 2-й, буд. 406 кв. 3, Вугледар, 26841",+380 01 884-68-06,tsybulenkoroksolana@example.com
Їжакевич,Франц,Юрійович,Чоловіча,22.03.1977,Мистецтвознавець,хутір Харків,"сквер Друга, буд. 720, Гнівань, 50071",001 251-04-51,vira66@example.net
Забара,Святослав,Вікторович,Чоловіча,28.07.2002,Кушнір,селище Вараш,"провулок Мала Садова, буд. 785, Калинівка , 46465",+380 97 972 34 03,adatelizhenko@example.net
Єрошенко,Владислав,Вікторович,Чоловіча,03.03.1962,Літературознавець,місто Ходорів,"провулок Деревообробний 5-й, буд. 63 кв. 7, Христинівка, 54100",+380 47 134-56-68,babarychenkoliliia@example.com
Ґереґа,Августин,Вікторович,Чоловіча,09.05.2005,Математик,хутір Яворів,"шосе Наявний 2-й, буд. 1, Олександрівськ, 96550",034 432-77-21,ivandanko@example.net
Вдовенко,Дмитро,Олексійович,Чоловіча,16.07.1974,Кухар,село Торецьк,"парк Навігаційний, буд. 35, Самбір, 81188",+380 30 158 27 47,vkharchenko@example.com
Шиян,Вадим,Вікторович,Чоловіча,06.09.1997,Мовознавець,село Сулимівка (Слов'янськ),"проспект Кутова, буд. 99 кв. 74, Калуш, 30105",057 572 19 04,hbabarychenko@example.org
Корж,Захар,Олександрович,Чоловіча,06.02.1962,Стропальник,хутір Берегове,"проспект Радісний, буд. 696 кв. 88, Єнакієве, 66385",+380 (75) 748-61-15,vrudko@example.com
Конопленко,Роман,Олегович,Чоловіча,05.08.1998,Секретар,хутір Федорівка,"проспект Канатний, буд. 24 кв. 94, Хорол , 99939",+380 00 654-73-32,datsenkovitalii@example.com
Данченко,Азар,Олегович,Чоловіча,14.04.1957,Швачка,хутір Олевськ,"проспект Богуна, буд. 892, Молодогвардійськ, 63669",+380 09 064-90-94,babiizakhar@example.org
Овчаренко,Амвросій,Олегович,Чоловіча,24.06.1964,Географ,село Вугледар,"вулиця Мирна, буд. 25 кв. 18, Приморськ (Україна), 31639",831 09 04,lysenkoarsen@example.org
Александренко,Юхим,Іванович,Чоловіча,25.01.1957,Психолог,хутір Могилів-Подільський,"вулиця Івана Вазова, буд. 4 кв. 777, Нікополь, 02052",938 19 92,khudobiakvasyl@example.org
Михайличенко,Адам,Юрійович,Чоловіча,02.09.1950,Прокурор,місто Енергодар,"провулок Чапаєва, буд. 6 кв. 879, Тульчин, 52269",+380 (57) 913-30-72,evasylenko@example.org
Штепа,Панас,Іванович,Чоловіча,27.04.1951,Науковець,хутір Угнів,"сквер Лінія 44-та, буд. 72, Миколаївка , 59791",+380 (40) 393-57-01,oleksandr58@example.org
Рудько,Хома,Олексійович,Чоловіча,10.12.1993,Соціолог,місто Судова Вишня,"вулиця Джутовий, буд. 8, Іловайськ, 95458",864 14 96,khudobiakanzhela@example.net
Дейнека,Дан,Анатолійович,Чоловіча,16.03.1944,Літературознавець,хутір Севастополь,"провулок Лютнева, буд. 276 кв. 15, Збараж, 87603",+380 77 101-31-06,danchenkoomelian@example.net
Ісаєнко,Ростислав,Петрович,Чоловіча,10.11.1993,Модель,селище Молочанськ,"вулиця Кренкеля, буд. 57, Бердянськ, 02697",+380 43 922-37-18,haidaburaviktor@example.net
Нестайко,Гліб,Вікторович,Чоловіча,01.01.1966,Кухар,хутір Надвірна,"узвіз Вєтрова, буд. 79 кв. 472, Шпола, 48611",637-61-85,okseniiaabramchuk@example.net
Савенко,Прохір,Юрійович,Чоловіча,04.12.1953,Професор,село Ладижин,"набережна Професора Коровицького, буд. 09 кв. 43, Кременчук, 63470",+380 63 149 89 10,ubairak@example.net
Годунок,Лесь,Петрович,Чоловіча,25.10.1988,Адвокат,місто Івано-Франківськ,"парк Черняховського, буд. 48 кв. 5, Козятин, 62751",671 23 31,vbandera@example.com
Тичина,Віктор,Юрійович,Чоловіча,03.07.1989,Юрист,село Вижниця,"провулок Дальня, буд. 6, Васильків, 38930",045 210-44-64,liubovzhurba@example.net
Дрозд,Азар,Петрович,Чоловіча,15.05.1949,Редактор,хутір Саки ,"вулиця Академіка Богатського, буд. 0 кв. 65, Тиврів, 13050",045 926 92 84,uokhrymovych@example.org
Юрченко,Ростислав,Іванович,Чоловіча,27.10.1945,Живописець,хутір Донецьк,"шосе Краснова, буд. 1, Вилкове, 45134",010 772-57-90,iaroslava65@example.org
Журба,Валерій,Юрійович,Чоловіча,10.03.1967,Державний службовець,хутір Глухів,"сквер Ліверпульський, буд. 37, Буринь, 53087",+380 (70) 617-54-68,avyshniak@example.org
Дубенко,Адам,Іванович,Чоловіча,29.01.1974,Складальник,місто Ватутіне,"вулиця Слави, буд. 179, Тисмениця, 20154",015 419 05 76,nshyian@example.org
Саченко,Андрій,Олександрович,Чоловіча,11.01.1962,Геофізик,хутір Бершадь,"парк Лодочний, буд. 5, Хмільник, 43369",008 012-91-77,ckabaliuk@example.org
Самойленко,Йосип,Олексійович,Чоловіча,30.11.1973,Педагог,хутір Ізяслав,"проспект 11-та ст. Великого Фонтану пляж, буд. 5, Середина-Буда, 23991",+380 12 587 04 63,tkachvolodymyr@example.com
Вернидуб,Георгій,Олександрович,Чоловіча,23.04.1998,Професор,хутір Жовква,"набережна Дорожня, буд. 811, Лутугине, 92578",+380 (72) 318-68-37,miesypenko@example.org
Акуленко,Демʼян,Юрійович,Чоловіча,12.03.1976,Адвокат,хутір Жашків,"узвіз Льва Толстого, буд. 59, Сарни, 56606",+380 52 385-75-40,tesliaarsen@example.net
Палій,Спас,Юрійович,Чоловіча,12.08.2007,Модель,хутір Теребовля,"площа Восьмого Березня Лінія 4-та, буд. 01 кв. 2, Чернівці, 67217",+380 11 429-79-78,fartushniakmilena@example.org
Швайка,Дан,Юрійович,Чоловіча,07.12.1962,Доцент,село Самбір,"сквер Тираспольська, буд. 45, Первомайський , 11442",+380 58 777 83 63,vitalii67@example.com
Андрієнко,Франц,Петрович,Чоловіча,16.02.1941,Краєзнавець,селище Оріхів,"проспект Писарева, буд. 958, Білозерське, 71221",024 151-60-69,drozdenkoerika@example.com
Швачко,Руслан,Анатолійович,Чоловіча,04.11.1973,Педагог,місто Українськ,"сквер Усатівська, буд. 531 кв. 3, Подільськ, 62071",462 16 73,tsiupaorysia@example.com
Орлик,Франц,Іванович,Чоловіча,09.03.1997,Графік,село Шумськ,"провулок Церковна, буд. 544, Ромни, 89993",043 326 68 33,stanislav47@example.com
Зубко,Олесь,Олександрович,Чоловіча,10.02.1996,Бібліотекар,місто Яремче,"вулиця Отрадна, буд. 79, Новоселиця, 70297",021 812-49-68,artemenkozynovii@example.com
Павличенко,Ярема,Юрійович,Чоловіча,17.04.1943,Електромонтер,селище Чигирин,"проспект Віцеадмірала Азарова, буд. 337, Севастополь, 03384",+380 16 588 13 41,ielysei71@example.org
Удовиченко,Арсен,Юрійович,Чоловіча,14.08.1983,Редактор,хутір Глобине,"набережна Лиманчик 2-й Лінія 2-га, буд. 1 кв. 807, Вознесенівка, 75704",821 82 72,vasylriabets@example.net
Черненко,Сергій,Вікторович,Чоловіча,02.10.1938,Археолог,місто Нова Одеса,"провулок Мацієвської, буд. 0, Ізяслав, 24174",+380 (25) 333-61-96,lbaturynets@example.org
Рябченко,Аврелій,Юрійович,Чоловіча,22.04.1997,Музичний редактор,хутір Слов'янськ,"сквер Лінія 42-га, буд. 96, Олешки, 35366",022 369 73 03,ruslan96@example.net
Лубенець,Віктор,Петрович,Чоловіча,13.03.1970,Мікробіолог,місто Горлівка,"провулок 3-тя Лінія Марії Демченко, буд. 3 кв. 1, Зимогір'я, 72125",082 965 90 90,umoskal@example.net
Приймак,Олекса,Юрійович,Чоловіча,25.02.1976,Ріелтор,хутір Стрий,"вулиця Стельмаха, буд. 006 кв. 8, Запоріжжя, 69999",392 22 67,ztsarenko@example.net
Александренко,Гордій,Юрійович,Чоловіча,07.11.1942,Дизайнер,хутір Белз,"узвіз Рачкова, буд. 56, Вугледар, 38717",001 38 54,vasylokhrymovych@example.net
Терещенко,Амвросій,Юрійович,Чоловіча,05.06.1991,Модельєр,селище Павлоград,"шосе Топольського, буд. 81, Герца, 50292",044 311 65 95,panas82@example.net
Лесик,Леопольд,Юрійович,Чоловіча,27.03.2007,Агроном,село Бровари,"проспект Контрадмірала Луніна, буд. 219, Деражня, 74345",759 93 10,veniiamynsavenko@example.net
Заруба,Станіслав,Олексійович,Чоловіча,18.07.1960,Пекар,село Кадіївка,"сквер Василя Симоненка, буд. 550, Бердянськ, 05374",080 075 05 68,maryna01@example.com
Рябошапка,Климент,Олексійович,Чоловіча,19.06.1989,Продюсер,місто Зборів,"шосе Добровольського, буд. 3 кв. 83, Бахмут, 24102",072 621-80-52,venhrynovycherika@example.org
Бабʼюк,Олександр,Анатолійович,Чоловіча,14.12.1986,Бухгалтер,село Зоринськ,"проспект Баштанна, буд. 9 кв. 425, Дебальцеве, 26496",+380 (49) 181-50-68,daryna08@example.org
Юрчук,Ярема,Вікторович,Чоловіча,04.12.1978,Економіст,село Судова Вишня,"площа Псковська, буд. 073 кв. 991, Білицьке, 23591",+380 37 691-42-37,opanas84@example.com
Шило,Пантелеймон,Анатолійович,Чоловіча,15.02.1959,Агроном,селище Дубно,"парк Ванний, буд. 975, Копичинці, 03033",+380 (74) 194-97-03,varfolomii21@example.com
Малик,Леонід,Юрійович,Чоловіча,21.03.1955,Фермер,село Кальміуське,"шосе Недєліна, буд. 775, Суми, 46210",+380 94 408-24-11,mariana78@example.org
Корбут,Леонід,Іванович,Чоловіча,05.09.1968,Драматург,селище Вільногірськ,"набережна Колекційна, буд. 930, Федорівка, 37523",953 72 45,valentyn61@example.org
Вишняк,Мирон,Юрійович,Чоловіча,05.03.1993,Кіноактор,місто Алмазна,"проспект Гвоздичний, буд. 54 кв. 857, Синельникове, 52152",+380 26 035-38-83,petrykborys@example.net
Пустовіт,Федір,Анатолійович,Чоловіча,11.08.1987,Вчитель,село Хотин,"площа Астрономічний, буд. 194 кв. 730, Часів Яр, 03656",004 421 49 12,mariiakorsun@example.com
Щириця,Вадим,Іванович,Чоловіча,21.06.1957,Астроном,селище Олександрія,"узвіз Кришталевий, буд. 199 кв. 70, Торецьк, 16606",+380 (94) 107-40-54,demyd02@example.net
Пилипенко,Ярема,Юрійович,Чоловіча,05.01.1953,Юрист,хутір Кам'янське,"площа Теплична, буд. 1, Новоукраїнка, 27837",+380 40 214-17-14,ruslandeineko@example.net
Венгринович,Левко,Вікторович,Чоловіча,02.12.1951,Мистецтвознавець,місто Саки ,"узвіз 16-та Лінія 6-й ст. Люстдорфської дороги, буд. 90 кв. 350, Новодружеськ, 68873",+380 (74) 308-31-20,anita06@example.com
Ємець,Опанас,Юрійович,Чоловіча,03.07.1965,Детектив,село Кам'янське,"набережна Юннатів, буд. 72 кв. 0, Копичинці, 37509",+380 03 646-70-36,omelianhuzii@example.com
Аврамчук,Давид,Юрійович,Чоловіча,28.06.1950,Вчитель,село Борщів,"площа Бузковий 2-й, буд. 200 кв. 793, Бурштин , 91366",023 174 26 68,shelestbohuslava@example.org
Дубина,Георгій,Юрійович,Чоловіча,08.05.2003,Кінокритик,хутір Світловодськ,"вулиця Аркадіївський, буд. 39, Дубляни, 19907",055 612 26 32,goliashparmen@example.org
Самойленко,Едуард,Юрійович,Чоловіча,24.04.1972,Швачка,хутір Полтава,"узвіз Радісна, буд. 676, Самбір, 17245",+380 (02) 028-26-83,aarondakhno@example.org
Юрчишин,Ярема,Юрійович,Чоловіча,03.12.1945,Слідчий,село Скалат,"площа Лугова, буд. 166, Буринь, 21099",060 618-07-06,prokhirkomar@example.org
Нестеренко,Степан,Олегович,Чоловіча,16.11.1989,Кушнір,хутір Жовті Води,"шосе Індійська, буд. 50 кв. 43, Новогродівка, 72985",+380 36 346-72-06,abezborodky@example.net
Ващенко,Борислав,Іванович,Чоловіча,10.11.1995,Парфюмер,селище Здолбунів,"провулок Злакова, буд. 1, Полонне, 84208",446 75 63,hannadubas@example.com
Макаренко,Олег,Іванович,Чоловіча,15.07.1969,Історик,місто Харцизьк,"узвіз Килимовий, буд. 21, Верхньодніпровськ, 08253",004 315 82 25,derehustymofii@example.org
Лупій,Петро,Вікторович,Чоловіча,19.02.2002,Ґрунтознавець,селище Червоноград,"шосе Ростовська, буд. 345 кв. 345, Золотоноша, 74578",+380 37 558-15-34,zorianbezditko@example.net
Масляк,Назар,Юрійович,Чоловіча,19.05.1963,Стиліст,місто Яремче,"вулиця Крижанівський, буд. 016, Географія Вільнянська, 37738",419-05-10,xkylymnyk@example.net
Яремків,Ярослав,Іванович,Чоловіча,03.05.1952,Кінокритик,село Белз,"провулок Якутська, буд. 9 кв. 02, Гола Пристань, 86105",011-24-84,harkhypenko@example.net
Токар,Ярема,Олегович,Чоловіча,18.01.1947,Фотограф,селище Ходорів,"шосе Восьмого березня узвіз, буд. 689 кв. 637, Селидове, 74725",+380 26 506-69-37,iukhymenkoliza@example.com
Шаповал,Болеслав,Вікторович,Чоловіча,29.06.1963,Золотар,селище Хоростків,"площа Юннатів 3-й, буд. 828 кв. 4, Краматорськ, 26521",066 368-07-80,piermolenko@example.net
Лемешко,Остап,Олександрович,Чоловіча,18.07.1969,Клоун,місто Алупка,"парк Семафорний, буд. 211 кв. 15, Алмазна, 88136",024 435-54-56,danyloartiukh@example.com
Вовк,Леон,Олексійович,Чоловіча,28.11.2006,Різноробочий,село Чигирин,"сквер Садова 1-ша, буд. 72, Ладижин, 14808",+380 (36) 776-11-08,tymofiifomenko@example.com
Шовкопляс,Мирон,Іванович,Чоловіча,04.08.1946,Юрист,місто Ржищів,"парк Китобійний 2-й, буд. 55, Новий Калинів, 16937",763-70-33,khrystynasaienko@example.org
Пустовіт,Омелян,Юрійович,Чоловіча,02.12.1961,Геолог,хутір Соснівка ,"вулиця Слов'янська, буд. 05, Любомль, 80556",+380 38 403-68-45,hermanbabii@example.com
Бебешко,Ігор,Юрійович,Чоловіча,21.10.1982,Ветеринар,хутір Чернігів,"сквер Привокзальний, буд. 37, Звенигородка, 59722",425-53-45,liliia35@example.org
